episode,total_reward,final_velocity
559,0,-106.766
560,0,-106.766
561,0,-106.766
562,0,-106.766
563,0,-106.766
564,0,-106.766
565,0,-106.766
566,0,-106.766
567,0,-106.766
568,0,-106.766
569,0,-106.766
570,0,-106.766
571,0,-106.766
572,0,-106.766
573,0,-106.766
574,0,-106.766
575,0,-106.766
576,0,-106.766
577,0,-106.766
578,0,-106.766
579,0,-106.766
580,0,-106.766
581,0,-106.766
582,0,-106.766
583,0,-106.766
584,0,-106.766
585,0,-106.766
586,0,-106.766
587,0,-106.766
588,0,-106.766
589,0,-106.766
590,0,-106.766
591,0,-106.766
592,0,-106.766
593,0,-106.766
594,0,-106.766
595,0,-106.766
596,0,-106.766
597,0,-106.766
598,0,-106.766
599,0,-106.766
600,0,-106.766
601,0,-106.766
602,0,-106.766
603,0,-106.766
604,0,-106.766
605,0,-106.766
606,0,-106.766
607,0,-106.766
608,0,-106.766
609,0,-106.766
610,0,-106.766
611,0,-106.766
612,0,-106.766
613,0,-106.766
614,0,-106.766
615,0,-106.766
616,0,-106.766
617,0,-106.766
618,0,-106.766
619,0,-106.766
620,0,-106.766
621,0,-106.766
622,0,-106.766
623,0,-106.766
624,0,-106.766
625,0,-106.766
626,0,-106.766
627,0,-106.766
628,0,-106.766
629,0,-106.766
630,0,-106.766
631,0,-106.766
632,0,-106.766
633,0,-106.766
634,0,-106.766
635,0,-106.766
636,0,-106.766
637,0,-106.766
638,0,-106.766
639,0,-106.766
640,0,-106.766
641,0,-106.766
642,0,-106.766
643,0,-106.766
644,0,-106.766
645,0,-106.766
646,0,-106.766
647,0,-106.766
648,0,-106.766
649,0,-106.766
650,0,-106.766
651,0,-106.766
652,0,-106.766
653,0,-106.766
654,0,-106.766
655,0,-106.766
656,0,-106.766
657,0,-106.766
658,0,-106.766
659,0,-106.766
660,0,-106.766
661,0,-106.766
662,0,-106.766
663,0,-106.766
664,0,-106.766
665,0,-106.766
666,0,-106.766
667,0,-106.766
668,0,-106.766
669,0,-106.766
670,0,-106.766
671,0,-106.766
672,0,-106.766
673,0,-106.766
674,0,-106.766
675,0,-106.766
676,0,-106.766
677,0,-106.766
678,0,-106.766
679,0,-106.766
680,0,-106.766
681,0,-106.766
682,0,-106.766
683,0,-106.766
684,0,-106.766
685,0,-106.766
686,0,-106.766
687,0,-106.766
688,0,-106.766
689,0,-106.766
690,0,-106.766
691,0,-106.766
692,0,-106.766
693,0,-106.766
694,0,-106.766
695,0,-106.766
696,0,-106.766
697,0,-106.766
698,0,-106.766
699,0,-106.766
700,0,-106.766
701,0,-106.766
702,0,-106.766
703,0,-106.766
704,0,-106.766
705,0,-106.766
706,0,-106.766
707,0,-106.766
708,0,-106.766
709,0,-106.766
710,0,-106.766
711,0,-106.766
712,0,-106.766
713,0,-106.766
714,0,-106.766
715,0,-106.766
716,0,-106.766
717,0,-106.766
718,0,-106.766
719,0,-106.766
720,0,-106.766
721,0,-106.766
722,0,-106.766
723,0,-106.766
724,0,-106.766
725,0,-106.766
726,0,-106.766
727,0,-106.766
728,0,-106.766
729,0,-106.766
730,0,-106.766
731,0,-106.766
732,0,-106.766
733,0,-106.766
734,0,-106.766
735,0,-106.766
736,0,-106.766
737,0,-106.766
738,0,-106.766
739,0,-106.766
740,0,-106.766
741,0,-106.766
742,0,-106.766
743,0,-106.766
744,0,-106.766
745,0,-106.766
746,0,-106.766
747,0,-106.766
748,0,-106.766
